id	name	name_en	name_zh-CN	name_zh-TW
875	ノーヴァ神聖国の錬金術士			
876	「星の案内人」			
877	不審者の噂			
878	天命			
879	案内人、錬金術に出会う			
880	アルビーナのアトリエ			
881	錬金術士見習い			
882	授かりし天命			
883	アルビーナの憧れ			
884	ベップの初仕事			
885	人生のタイミング			
886	同行願い			
887	ベップの心構え			
888	商売がたき			
889	案内人の仕事			
890	聖戦士の仕事			
891	お説教の予感			
892	教えに背くということ			
893	謹慎中			
894	不公平な教え			
895	逆転の可能性			
896	アタシじゃなきゃダメなの			
897	ベップが纏う色			
898	支え合い姉妹			
899	商機逸すべからず			
900	なんでも屋、逃げる			
901	ろ過装置、完成！			
902	隠された英雄			
903	大陸からの来客			
10000	ほうき星の導き	Guidance of the Comet	彗星的指引	彗星的導引
10001	始まりは唐突に	A Sudden Beginning	开端总是如此突然	不期而至的開端
10002	錬金術で役立つものを	Making Alchemical Aids	用炼金术制作有用的东西	用鍊金術創造有用之物
10003	すべてはあの日から	It All Started That Day	一切始于那一天	一切始於那日
