id	description	description_en	description_zh-CN	description_zh-TW	popup_text	popup_text_en	popup_text_zh-CN	popup_text_zh-TW
71149009	敵かつスキル対象に『与ダメージDOWN(付与率100%/3回)』を付与	敵かつスキル対象に『与ダメージDOWN(付与率100%/3回)』を付与	敵かつスキル対象に『与ダメージDOWN(付与率100%/3回)』を付与	敵かつスキル対象に『与ダメージDOWN(付与率100%/3回)』を付与				
71149010	敵かつスキル対象に『被ダメージUP(付与率100%/3回)』を付与	敵かつスキル対象に『被ダメージUP(付与率100%/3回)』を付与	敵かつスキル対象に『被ダメージUP(付与率100%/3回)』を付与	敵かつスキル対象に『被ダメージUP(付与率100%/3回)』を付与				
71149011	敵かつスキル対象に『被回復量DOWN(付与率100%/3回)』を付与	敵かつスキル対象に『被回復量DOWN(付与率100%/3回)』を付与	敵かつスキル対象に『被回復量DOWN(付与率100%/3回)』を付与	敵かつスキル対象に『被回復量DOWN(付与率100%/3回)』を付与				
71149012	敵かつスキル対象に『受けるプラス効果量DOWN(付与率100%/3回)』を付与	敵かつスキル対象に『受けるプラス効果量DOWN(付与率100%/3回)』を付与	敵かつスキル対象に『受けるプラス効果量DOWN(付与率100%/3回)』を付与	敵かつスキル対象に『受けるプラス効果量DOWN(付与率100%/3回)』を付与				
71149013	状態異常を持った敵に威力アップ							
71151001	敵スキル対象のパネルを加護弱化パネルに変更	敵スキル対象のパネルを加護弱化パネルに変更	敵スキル対象のパネルを加護弱化パネルに変更	敵スキル対象のパネルを加護弱化パネルに変更				
71151002	敵スキル対象の強化効果を全て解除	敵スキル対象の強化効果を全て解除	敵スキル対象の強化効果を全て解除	敵スキル対象の強化効果を全て解除	プラス効果解除	Remove Positive Effects	正面效果解除	解除加強效果
71151003	敵全体に「強化効果の効果量ダウン」を付与（5回発動）	敵全体に「強化効果の効果量ダウン」を付与（5回発動）	敵全体に「強化効果の効果量ダウン」を付与（5回発動）	敵全体に「強化効果の効果量ダウン」を付与（5回発動）				
71151004	自身が受ける強化効果の効果量をダウンさせる効果	自身が受ける強化効果の効果量をダウンさせる効果	自身が受ける強化効果の効果量をダウンさせる効果	自身が受ける強化効果の効果量をダウンさせる効果				
71152003	自身に与ダメージアップ(1回)を付与	自身に与ダメージアップ(1回)を付与	自身に与ダメージアップ(1回)を付与	自身に与ダメージアップ(1回)を付与				
71152004	自身に与ダメージアップ(2回)を付与	自身に与ダメージアップ(2回)を付与	自身に与ダメージアップ(2回)を付与	自身に与ダメージアップ(2回)を付与				
71152005	敵全体にクリティカル発生率ダウン(1回)を付与	敵全体にクリティカル発生率ダウン(1回)を付与	敵全体にクリティカル発生率ダウン(1回)を付与	敵全体にクリティカル発生率ダウン(1回)を付与				
71152010	自身に被ダメージダウン(2回)を付与	自身に被ダメージダウン(2回)を付与	自身に被ダメージダウン(2回)を付与	自身に被ダメージダウン(2回)を付与				
71152011	自身に素早さアップ(2回)を付与	自身に素早さアップ(2回)を付与	自身に素早さアップ(2回)を付与	自身に素早さアップ(2回)を付与				
71153001	クリティカルダメージUP	クリティカルダメージUP	クリティカルダメージUP	クリティカルダメージUP				
71153002	自身にクリティカル発生率UP(1回)付与	自身にクリティカル発生率UP(1回)付与	自身にクリティカル発生率UP(1回)付与	自身にクリティカル発生率UP(1回)付与				
71153003	自身にクリティカル与ダメージUP(3回)付与	自身にクリティカル与ダメージUP(3回)付与	自身にクリティカル与ダメージUP(3回)付与	自身にクリティカル与ダメージUP(3回)付与				
71153004	味方のスキル対象に、クリティカル発生率UP(1回)を付与	味方のスキル対象に、クリティカル発生率UP(1回)を付与	味方のスキル対象に、クリティカル発生率UP(1回)を付与	味方のスキル対象に、クリティカル発生率UP(1回)を付与				
71153005	味方のスキル対象に、被ダメージUP(1回)を付与	味方のスキル対象に、被ダメージUP(1回)を付与	味方のスキル対象に、被ダメージUP(1回)を付与	味方のスキル対象に、被ダメージUP(1回)を付与				
71153007	自身にクリティカル発生率アップを付与	自身にクリティカル発生率アップを付与	自身にクリティカル発生率アップを付与	自身にクリティカル発生率アップを付与				
71153008	自身にクリティカルダメージアップを付与(上限100%)	自身にクリティカルダメージアップを付与(上限100%)	自身にクリティカルダメージアップを付与(上限100%)	自身にクリティカルダメージアップを付与(上限100%)				
71156001	味方かつスキル対象に『与ダメージUP(付与率100%/5回)』を付与	味方かつスキル対象に『与ダメージUP(付与率100%/5回)』を付与	味方かつスキル対象に『与ダメージUP(付与率100%/5回)』を付与	味方かつスキル対象に『与ダメージUP(付与率100%/5回)』を付与				
71156002	味方かつスキル対象に、次の効果のうち1つを適用する。\n・[ファニーフェイス][MainStory/汎用]与ダメージUP(2回)\n・[ファニーフェイス][MainStory/汎用]被ダメージDOWN(2回)\n・[ファニーフェイス][MainStory/汎用]確定クリティカル(1回)付与\n・[ファニーフェイス][MainStory/汎用]再生(3回)付与\n・[ファニーフェイス][MainStory/汎用]回避(1回)付与	味方かつスキル対象に、次の効果のうち1つを適用する。\n・[ファニーフェイス][MainStory/汎用]与ダメージUP(2回)\n・[ファニーフェイス][MainStory/汎用]被ダメージDOWN(2回)\n・[ファニーフェイス][MainStory/汎用]確定クリティカル(1回)付与\n・[ファニーフェイス][MainStory/汎用]再生(3回)付与\n・[ファニーフェイス][MainStory/汎用]回避(1回)付与	味方かつスキル対象に、次の効果のうち1つを適用する。\n・[ファニーフェイス][MainStory/汎用]与ダメージUP(2回)\n・[ファニーフェイス][MainStory/汎用]被ダメージDOWN(2回)\n・[ファニーフェイス][MainStory/汎用]確定クリティカル(1回)付与\n・[ファニーフェイス][MainStory/汎用]再生(3回)付与\n・[ファニーフェイス][MainStory/汎用]回避(1回)付与	味方かつスキル対象に、次の効果のうち1つを適用する。\n・[ファニーフェイス][MainStory/汎用]与ダメージUP(2回)\n・[ファニーフェイス][MainStory/汎用]被ダメージDOWN(2回)\n・[ファニーフェイス][MainStory/汎用]確定クリティカル(1回)付与\n・[ファニーフェイス][MainStory/汎用]再生(3回)付与\n・[ファニーフェイス][MainStory/汎用]回避(1回)付与				
71156003	味方かつスキル対象に『与ダメージUP(付与率100%/2回)』を付与	味方かつスキル対象に『与ダメージUP(付与率100%/2回)』を付与	味方かつスキル対象に『与ダメージUP(付与率100%/2回)』を付与	味方かつスキル対象に『与ダメージUP(付与率100%/2回)』を付与				
71156004	味方かつスキル対象に『被ダメージDOWN(付与率100%/2回)』を付与	味方かつスキル対象に『被ダメージDOWN(付与率100%/2回)』を付与	味方かつスキル対象に『被ダメージDOWN(付与率100%/2回)』を付与	味方かつスキル対象に『被ダメージDOWN(付与率100%/2回)』を付与				
71156005	味方かつスキル対象に『確定クリティカル(パネル効果用)(付与率100%/1回)』を付与	味方かつスキル対象に『確定クリティカル(パネル効果用)(付与率100%/1回)』を付与	味方かつスキル対象に『確定クリティカル(パネル効果用)(付与率100%/1回)』を付与	味方かつスキル対象に『確定クリティカル(パネル効果用)(付与率100%/1回)』を付与				
71156006	味方かつスキル対象に『再生(付与率100%/3回)』を付与	味方かつスキル対象に『再生(付与率100%/3回)』を付与	味方かつスキル対象に『再生(付与率100%/3回)』を付与	味方かつスキル対象に『再生(付与率100%/3回)』を付与				
71156007	味方かつスキル対象に『回避(付与率100%/1回)』を付与	味方かつスキル対象に『回避(付与率100%/1回)』を付与	味方かつスキル対象に『回避(付与率100%/1回)』を付与	味方かつスキル対象に『回避(付与率100%/1回)』を付与				
71156008	味方かつスキル対象のブレイクゲージを回復する	味方かつスキル対象のブレイクゲージを回復する	味方かつスキル対象のブレイクゲージを回復する	味方かつスキル対象のブレイクゲージを回復する				
71156009	味方かつスキル対象に、次の効果のうち1つを適用する。\n・[ファニーフェイス][MainStory/汎用]与ダメージUP(2回)\n・[ファニーフェイス][MainStory/汎用]被ダメージDOWN(2回)\n・[ファニーフェイス][MainStory/汎用]確定クリティカル(1回)付与\n・[ファニーフェイス][MainStory/汎用]再生(3回)付与	味方かつスキル対象に、次の効果のうち1つを適用する。\n・[ファニーフェイス][MainStory/汎用]与ダメージUP(2回)\n・[ファニーフェイス][MainStory/汎用]被ダメージDOWN(2回)\n・[ファニーフェイス][MainStory/汎用]確定クリティカル(1回)付与\n・[ファニーフェイス][MainStory/汎用]再生(3回)付与	味方かつスキル対象に、次の効果のうち1つを適用する。\n・[ファニーフェイス][MainStory/汎用]与ダメージUP(2回)\n・[ファニーフェイス][MainStory/汎用]被ダメージDOWN(2回)\n・[ファニーフェイス][MainStory/汎用]確定クリティカル(1回)付与\n・[ファニーフェイス][MainStory/汎用]再生(3回)付与	味方かつスキル対象に、次の効果のうち1つを適用する。\n・[ファニーフェイス][MainStory/汎用]与ダメージUP(2回)\n・[ファニーフェイス][MainStory/汎用]被ダメージDOWN(2回)\n・[ファニーフェイス][MainStory/汎用]確定クリティカル(1回)付与\n・[ファニーフェイス][MainStory/汎用]再生(3回)付与				
71164028	自身に与ダメージUP(1回)を付与	自身に与ダメージUP(1回)を付与	自身に与ダメージUP(1回)を付与	自身に与ダメージUP(1回)を付与				
71164029	自身に素早さUP(1回)を付与	自身に素早さUP(1回)を付与	自身に素早さUP(1回)を付与	自身に素早さUP(1回)を付与				
71164030	自身に被ダメージDOWN(1回)を付与	自身に被ダメージDOWN(1回)を付与	自身に被ダメージDOWN(1回)を付与	自身に被ダメージDOWN(1回)を付与				
71165014	自身に素早さUP(1回)を付与	自身に素早さUP(1回)を付与	自身に素早さUP(1回)を付与	自身に素早さUP(1回)を付与				
71165015	対象に素早さDOWN(1回)を付与	対象に素早さDOWN(1回)を付与	対象に素早さDOWN(1回)を付与	対象に素早さDOWN(1回)を付与				
71165016	自身に与ダメージUP(1回)を付与	自身に与ダメージUP(1回)を付与	自身に与ダメージUP(1回)を付与	自身に与ダメージUP(1回)を付与				
71166010	自身に与ダメージUP(1回)を付与	自身に与ダメージUP(1回)を付与	自身に与ダメージUP(1回)を付与	自身に与ダメージUP(1回)を付与				
71166011	自身に素早さUP(2回)を付与	自身に素早さUP(2回)を付与	自身に素早さUP(2回)を付与	自身に素早さUP(2回)を付与				
71166012	対象に被ダメージUP(1回)を付与	対象に被ダメージUP(1回)を付与	対象に被ダメージUP(1回)を付与	対象に被ダメージUP(1回)を付与				
71167022	味方全体にクリティカル発生率UP(1回)を付与	味方全体にクリティカル発生率UP(1回)を付与	味方全体にクリティカル発生率UP(1回)を付与	味方全体にクリティカル発生率UP(1回)を付与				
71167023	対象にクリティカル発生率UP(1回)を付与	対象にクリティカル発生率UP(1回)を付与	対象にクリティカル発生率UP(1回)を付与	対象にクリティカル発生率UP(1回)を付与				
71167024	敵全体にクリティカル発生率DOWN(1回)を付与	敵全体にクリティカル発生率DOWN(1回)を付与	敵全体にクリティカル発生率DOWN(1回)を付与	敵全体にクリティカル発生率DOWN(1回)を付与				
71168017	自身にクリティカル発生率UP(1回)を付与	自身にクリティカル発生率UP(1回)を付与	自身にクリティカル発生率UP(1回)を付与	自身にクリティカル発生率UP(1回)を付与				
71168018	対象にクリティカル発生率DOWN(1回)を付与	対象にクリティカル発生率DOWN(1回)を付与	対象にクリティカル発生率DOWN(1回)を付与	対象にクリティカル発生率DOWN(1回)を付与				
71168019	敵全体に与ダメージDOWN(1回)を付与	敵全体に与ダメージDOWN(1回)を付与	敵全体に与ダメージDOWN(1回)を付与	敵全体に与ダメージDOWN(1回)を付与				
71168020	味方全体にクリティカル発生率UP(1回)を付与	味方全体にクリティカル発生率UP(1回)を付与	味方全体にクリティカル発生率UP(1回)を付与	味方全体にクリティカル発生率UP(1回)を付与				
71169025	対象のブレイクゲージ回復(1回)	対象のブレイクゲージ回復(1回)	対象のブレイクゲージ回復(1回)	対象のブレイクゲージ回復(1回)				
71169026	対象の与ダメージDOWN(1回)	対象の与ダメージDOWN(1回)	対象の与ダメージDOWN(1回)	対象の与ダメージDOWN(1回)				
71170001	対象に素早さDOWNを付与(永続)	対象に素早さDOWNを付与(永続)	対象に素早さDOWNを付与(永続)	対象に素早さDOWNを付与(永続)				
71170002	対象に風耐性DOWNを付与(永続)	対象に風耐性DOWNを付与(永続)	対象に風耐性DOWNを付与(永続)	対象に風耐性DOWNを付与(永続)				
71170003	対象に与ダメージダウンを付与(永続)	対象に与ダメージダウンを付与(永続)	対象に与ダメージダウンを付与(永続)	対象に与ダメージダウンを付与(永続)				
71170004	対象に被ダメージアップを付与(永続)	対象に被ダメージアップを付与(永続)	対象に被ダメージアップを付与(永続)	対象に被ダメージアップを付与(永続)				
71173001	自身に与ダメージDOWN(永続)を付与	自身に与ダメージDOWN(永続)を付与	自身に与ダメージDOWN(永続)を付与	自身に与ダメージDOWN(永続)を付与				
71173002	自身に素早さDOWN(永続)を付与	自身に素早さDOWN(永続)を付与	自身に素早さDOWN(永続)を付与	自身に素早さDOWN(永続)を付与				
71174004	スキル対象に全属性耐性DOWN(3回)を付与する	スキル対象に全属性耐性DOWN(3回)を付与する	スキル対象に全属性耐性DOWN(3回)を付与する	スキル対象に全属性耐性DOWN(3回)を付与する				
71174005	自身に全属性耐性UP(3回)を付与する	自身に全属性耐性UP(3回)を付与する	自身に全属性耐性UP(3回)を付与する	自身に全属性耐性UP(3回)を付与する				
71175001	仲間に最大HP20%以下のダメージ無効(2回)を付与する	仲間に最大HP20%以下のダメージ無効(2回)を付与する	仲間に最大HP20%以下のダメージ無効(2回)を付与する	仲間に最大HP20%以下のダメージ無効(2回)を付与する				
71175002	敵スキル対象のパネルを弱化パネルに変更する	敵スキル対象のパネルを弱化パネルに変更する	敵スキル対象のパネルを弱化パネルに変更する	敵スキル対象のパネルを弱化パネルに変更する				
71175003	仲間全体の手番を早める	仲間全体の手番を早める	仲間全体の手番を早める	仲間全体の手番を早める				
71176001	自身のパネルを強化パネルに変換する	自身のパネルを強化パネルに変換する	自身のパネルを強化パネルに変換する	自身のパネルを強化パネルに変換する				
71179001	敵単体に『火傷(付与率70%/回数無制限)』を付与	敵単体に『火傷(付与率70%/回数無制限)』を付与	敵単体に『火傷(付与率70%/回数無制限)』を付与	敵単体に『火傷(付与率70%/回数無制限)』を付与				
71179002	敵全体に『被ダメージUP(付与率100%/3回)』を付与	敵全体に『被ダメージUP(付与率100%/3回)』を付与	敵全体に『被ダメージUP(付与率100%/3回)』を付与	敵全体に『被ダメージUP(付与率100%/3回)』を付与				
71179003	敵全体の頭上の空白パネルを火傷パネルに変換する	敵全体の頭上の空白パネルを火傷パネルに変換する	敵全体の頭上の空白パネルを火傷パネルに変換する	敵全体の頭上の空白パネルを火傷パネルに変換する				
71179004	敵単体に『素早さDOWN(付与率100%/3回)』を付与	敵単体に『素早さDOWN(付与率100%/3回)』を付与	敵単体に『素早さDOWN(付与率100%/3回)』を付与	敵単体に『素早さDOWN(付与率100%/3回)』を付与				
71179005	敵単体に『被ダメージUP(付与率100%/3回)』を付与	敵単体に『被ダメージUP(付与率100%/3回)』を付与	敵単体に『被ダメージUP(付与率100%/3回)』を付与	敵単体に『被ダメージUP(付与率100%/3回)』を付与				
71179006	自身のHPを消費	自身のHPを消費	自身のHPを消費	自身のHPを消費				
71179007	自身に『与ダメージUP(付与率100%/3回)』を付与	自身に『与ダメージUP(付与率100%/3回)』を付与	自身に『与ダメージUP(付与率100%/3回)』を付与	自身に『与ダメージUP(付与率100%/3回)』を付与				
71179008	自身に『素早さUP(付与率100%/3回)』を付与	自身に『素早さUP(付与率100%/3回)』を付与	自身に『素早さUP(付与率100%/3回)』を付与	自身に『素早さUP(付与率100%/3回)』を付与				
71179009	自身のブレイクゲージを回復	自身のブレイクゲージを回復	自身のブレイクゲージを回復	自身のブレイクゲージを回復				
71179010	自身に『被ダメージDOWN(付与率100%/3回)』を付与	自身に『被ダメージDOWN(付与率100%/3回)』を付与	自身に『被ダメージDOWN(付与率100%/3回)』を付与	自身に『被ダメージDOWN(付与率100%/3回)』を付与				
71180011	敵単体に『カチコチ付与率70%/回数無制限)』を付与	敵単体に『カチコチ付与率70%/回数無制限)』を付与	敵単体に『カチコチ付与率70%/回数無制限)』を付与	敵単体に『カチコチ付与率70%/回数無制限)』を付与				
71180012	敵全体の頭上のBSパネル以外のパネルを弱体化パネルに変換する	敵全体の頭上のBSパネル以外のパネルを弱体化パネルに変換する	敵全体の頭上のBSパネル以外のパネルを弱体化パネルに変換する	敵全体の頭上のBSパネル以外のパネルを弱体化パネルに変換する				
71180013	自身に『被ダメージDOWN(付与率100%/3回)』を付与	自身に『被ダメージDOWN(付与率100%/3回)』を付与	自身に『被ダメージDOWN(付与率100%/3回)』を付与	自身に『被ダメージDOWN(付与率100%/3回)』を付与				
71180014	敵全体に『与ダメージDOWN(付与率100%/3回)』を付与	敵全体に『与ダメージDOWN(付与率100%/3回)』を付与	敵全体に『与ダメージDOWN(付与率100%/3回)』を付与	敵全体に『与ダメージDOWN(付与率100%/3回)』を付与				
71180015	敵単体の手番を遅らせる	敵単体の手番を遅らせる	敵単体の手番を遅らせる	敵単体の手番を遅らせる				
71180016	自身に『与ダメージUP(付与率100%/3回)』を付与	自身に『与ダメージUP(付与率100%/3回)』を付与	自身に『与ダメージUP(付与率100%/3回)』を付与	自身に『与ダメージUP(付与率100%/3回)』を付与				
71180017	敵かつスキル対象に『受けるプラス効果量DOWN(付与率100%/3回)』を付与	敵かつスキル対象に『受けるプラス効果量DOWN(付与率100%/3回)』を付与	敵かつスキル対象に『受けるプラス効果量DOWN(付与率100%/3回)』を付与	敵かつスキル対象に『受けるプラス効果量DOWN(付与率100%/3回)』を付与				
71180018	自身のブレイクゲージ回復	自身のブレイクゲージ回復	自身のブレイクゲージ回復	自身のブレイクゲージ回復				
71181019	敵全体の頭上の空白パネルを弱体化パネルに変換する	敵全体の頭上の空白パネルを弱体化パネルに変換する	敵全体の頭上の空白パネルを弱体化パネルに変換する	敵全体の頭上の空白パネルを弱体化パネルに変換する				
71181020	敵単体に『麻痺(付与率50%/2回)』を付与	敵単体に『麻痺(付与率50%/2回)』を付与	敵単体に『麻痺(付与率50%/2回)』を付与	敵単体に『麻痺(付与率50%/2回)』を付与				
71181021	自身に『与ダメージUP(付与率100%/3回)』を付与	自身に『与ダメージUP(付与率100%/3回)』を付与	自身に『与ダメージUP(付与率100%/3回)』を付与	自身に『与ダメージUP(付与率100%/3回)』を付与				
71181022	敵全体に『与ダメージDOWN(付与率100%/3回)』を付与	敵全体に『与ダメージDOWN(付与率100%/3回)』を付与	敵全体に『与ダメージDOWN(付与率100%/3回)』を付与	敵全体に『与ダメージDOWN(付与率100%/3回)』を付与				
71181024	敵単体の頭上のBSパネル以外のパネルを弱体化パネルに変換する	敵単体の頭上のBSパネル以外のパネルを弱体化パネルに変換する	敵単体の頭上のBSパネル以外のパネルを弱体化パネルに変換する	敵単体の頭上のBSパネル以外のパネルを弱体化パネルに変換する				
71181025	自身に『被ダメージDOWN(付与率100%/3回)』を付与	自身に『被ダメージDOWN(付与率100%/3回)』を付与	自身に『被ダメージDOWN(付与率100%/3回)』を付与	自身に『被ダメージDOWN(付与率100%/3回)』を付与				
71181026	敵全体に『素早さDOWN(付与率100%/3回)』を付与	敵全体に『素早さDOWN(付与率100%/3回)』を付与	敵全体に『素早さDOWN(付与率100%/3回)』を付与	敵全体に『素早さDOWN(付与率100%/3回)』を付与				
71181027	敵全体の頭上のBSパネル以外のパネルを弱体化パネルに変換する	敵全体の頭上のBSパネル以外のパネルを弱体化パネルに変換する	敵全体の頭上のBSパネル以外のパネルを弱体化パネルに変換する	敵全体の頭上のBSパネル以外のパネルを弱体化パネルに変換する				
71181028	自身のブレイクゲージ回復	自身のブレイクゲージ回復	自身のブレイクゲージ回復	自身のブレイクゲージ回復				
71182029	敵単体の手番を遅らせる	敵単体の手番を遅らせる	敵単体の手番を遅らせる	敵単体の手番を遅らせる				
71182030	自分の次手番に強化パネルを作成(BSパネル以外)	自分の次手番に強化パネルを作成(BSパネル以外)	自分の次手番に強化パネルを作成(BSパネル以外)	自分の次手番に強化パネルを作成(BSパネル以外)				
71182031	自身に『被ブレイクダメージDOWN(付与率100%/3回)』を付与	自身に『被ブレイクダメージDOWN(付与率100%/3回)』を付与	自身に『被ブレイクダメージDOWN(付与率100%/3回)』を付与	自身に『被ブレイクダメージDOWN(付与率100%/3回)』を付与				
71182032	敵全体に『素早さDOWN(付与率100%/3回)』を付与	敵全体に『素早さDOWN(付与率100%/3回)』を付与	敵全体に『素早さDOWN(付与率100%/3回)』を付与	敵全体に『素早さDOWN(付与率100%/3回)』を付与				
71182033	敵全体に『被ダメージUP(付与率100%/3回)』を付与	敵全体に『被ダメージUP(付与率100%/3回)』を付与	敵全体に『被ダメージUP(付与率100%/3回)』を付与	敵全体に『被ダメージUP(付与率100%/3回)』を付与				
71182034	自身に『与ダメージUP(付与率100%/3回)』を付与	自身に『与ダメージUP(付与率100%/3回)』を付与	自身に『与ダメージUP(付与率100%/3回)』を付与	自身に『与ダメージUP(付与率100%/3回)』を付与				
71182035	自身に『被ダメージDOWN(付与率100%/3回)』を付与	自身に『被ダメージDOWN(付与率100%/3回)』を付与	自身に『被ダメージDOWN(付与率100%/3回)』を付与	自身に『被ダメージDOWN(付与率100%/3回)』を付与				
71182036	自身のブレイクゲージ回復	自身のブレイクゲージ回復	自身のブレイクゲージ回復	自身のブレイクゲージ回復				
71183001	自身に再生を付与(3回)	自身に再生を付与(3回)	自身に再生を付与(3回)	自身に再生を付与(3回)				
71183002	敵全体に挑発付与(3回)	敵全体に挑発付与(3回)	敵全体に挑発付与(3回)	敵全体に挑発付与(3回)				
71183003	自身に被ダメージDOWN(5回)付与	自身に被ダメージDOWN(5回)付与	自身に被ダメージDOWN(5回)付与	自身に被ダメージDOWN(5回)付与				
71183004	BSパネル以外のパネルを弱体化パネルに変換	BSパネル以外のパネルを弱体化パネルに変換	BSパネル以外のパネルを弱体化パネルに変換	BSパネル以外のパネルを弱体化パネルに変換				
71184001	空パネルを暗闇パネルに変更する	空パネルを暗闇パネルに変更する	空パネルを暗闇パネルに変更する	空パネルを暗闇パネルに変更する				
71186001	自身にクリティカルダメージUP(永続)を付与	自身にクリティカルダメージUP(永続)を付与	自身にクリティカルダメージUP(永続)を付与	自身にクリティカルダメージUP(永続)を付与				
71186002	スキル対象をプッシュする	スキル対象をプッシュする	スキル対象をプッシュする	スキル対象をプッシュする				
71186003	スキル対象のプラス効果解除	スキル対象のプラス効果解除	スキル対象のプラス効果解除	スキル対象のプラス効果解除				
71186004	自身に回避(2回)付与	自身に回避(2回)付与	自身に回避(2回)付与	自身に回避(2回)付与				
71186005	自身に与ダメージUP(3回)付与	自身に与ダメージUP(3回)付与	自身に与ダメージUP(3回)付与	自身に与ダメージUP(3回)付与				
71186006	自身に素早さUP(2回)を付与	自身に素早さUP(2回)を付与	自身に素早さUP(2回)を付与	自身に素早さUP(2回)を付与				
71186007	自身に被ダメージDOWN(2回)付与	自身に被ダメージDOWN(2回)付与	自身に被ダメージDOWN(2回)付与	自身に被ダメージDOWN(2回)付与				
71187001	自身に被マイナス効果量DOWN(2回)を付与する	自身に被マイナス効果量DOWN(2回)を付与する	自身に被マイナス効果量DOWN(2回)を付与する	自身に被マイナス効果量DOWN(2回)を付与する				
71190005	味方全体のBを除くパネルを強化パネルへ変更	味方全体のBを除くパネルを強化パネルへ変更	味方全体のBを除くパネルを強化パネルへ変更	味方全体のBを除くパネルを強化パネルへ変更				
71190006	敵対象に火傷を確率60％で付与	敵対象に火傷を確率60％で付与	敵対象に火傷を確率60％で付与	敵対象に火傷を確率60％で付与				
71190007	自身のBを除く次パネルを癒パネルへ変更	自身のBを除く次パネルを癒パネルへ変更	自身のBを除く次パネルを癒パネルへ変更	自身のBを除く次パネルを癒パネルへ変更				
71191005	敵全体の素早さDOWN(1回)	敵全体の素早さDOWN(1回)	敵全体の素早さDOWN(1回)	敵全体の素早さDOWN(1回)				
71191006	敵全体のパネルを-パネルに変換	敵全体のパネルを-パネルに変換	敵全体のパネルを-パネルに変換	敵全体のパネルを-パネルに変換				
71191007	敵全体の被ダメージUP(2回)	敵全体の被ダメージUP(2回)	敵全体の被ダメージUP(2回)	敵全体の被ダメージUP(2回)				
71191008	自身の被ダメージDOWN(2回)	自身の被ダメージDOWN(2回)	自身の被ダメージDOWN(2回)	自身の被ダメージDOWN(2回)				
71191009	自身の物理耐性UP(2回)	自身の物理耐性UP(2回)	自身の物理耐性UP(2回)	自身の物理耐性UP(2回)				
71191010	敵全体の与ダメージDOWN(2回)	敵全体の与ダメージDOWN(2回)	敵全体の与ダメージDOWN(2回)	敵全体の与ダメージDOWN(2回)				
71191011	敵全体のパネル変換(強化→空)	敵全体のパネル変換(強化→空)	敵全体のパネル変換(強化→空)	敵全体のパネル変換(強化→空)				
71191012	敵全体のパネル変換(空→弱体)	敵全体のパネル変換(空→弱体)	敵全体のパネル変換(空→弱体)	敵全体のパネル変換(空→弱体)				
71192001	スキル対象のパネルを弱体+パネルに変換する	スキル対象のパネルを弱体+パネルに変換する	スキル対象のパネルを弱体+パネルに変換する	スキル対象のパネルを弱体+パネルに変換する				
71192002	自身の次パネルを強化パネルに変換する	自身の次パネルを強化パネルに変換する	自身の次パネルを強化パネルに変換する	自身の次パネルを強化パネルに変換する				
71192003	与ダメージDOWN(100％/3回)を付与する	与ダメージDOWN(100％/3回)を付与する	与ダメージDOWN(100％/3回)を付与する	与ダメージDOWN(100％/3回)を付与する				
71192004	被ダメージDOWN(100%/3回)を付与する	被ダメージDOWN(100%/3回)を付与する	被ダメージDOWN(100%/3回)を付与する	被ダメージDOWN(100%/3回)を付与する				
71192005	HP回復量DOWN(100%/3回)を付与する	HP回復量DOWN(100%/3回)を付与する	HP回復量DOWN(100%/3回)を付与する	HP回復量DOWN(100%/3回)を付与する				
71193001	味方の手番を早める	味方の手番を早める	味方の手番を早める	味方の手番を早める	ターン短縮	Shorten Turn	回合缩短	回合縮短
71193002	被ダメージUP(100%/3回)を付与する	被ダメージUP(100%/3回)を付与する	被ダメージUP(100%/3回)を付与する	被ダメージUP(100%/3回)を付与する				
71193003	与ダメージDOWN(100％/3回)を付与する	与ダメージDOWN(100％/3回)を付与する	与ダメージDOWN(100％/3回)を付与する	与ダメージDOWN(100％/3回)を付与する				
71193004	クリティカル確率DOWN(100%/1回)を付与する	クリティカル確率DOWN(100%/1回)を付与する	クリティカル確率DOWN(100%/1回)を付与する	クリティカル確率DOWN(100%/1回)を付与する				
71193005	カチコチ(50%/2回)を付与する	カチコチ(50%/2回)を付与する	カチコチ(50%/2回)を付与する	カチコチ(50%/2回)を付与する				
71195001	与ダメージUP(100％/3回)を付与する	与ダメージUP(100％/3回)を付与する	与ダメージUP(100％/3回)を付与する	与ダメージUP(100％/3回)を付与する				
71195002	自身に再生(100%/3回)を付与する	自身に再生(100%/3回)を付与する	自身に再生(100%/3回)を付与する	自身に再生(100%/3回)を付与する				
71196001	与ダメージDOWN(100％/3回)を付与する	与ダメージDOWN(100％/3回)を付与する	与ダメージDOWN(100％/3回)を付与する	与ダメージDOWN(100％/3回)を付与する				
71196002	クリティカル確率DOWN(100%/3回)を付与する	クリティカル確率DOWN(100%/3回)を付与する	クリティカル確率DOWN(100%/3回)を付与する	クリティカル確率DOWN(100%/3回)を付与する				
71196003	被ダメージDOWN(100%/3回)を付与する	被ダメージDOWN(100%/3回)を付与する	被ダメージDOWN(100%/3回)を付与する	被ダメージDOWN(100%/3回)を付与する				
71203001	攻撃後、対象のパネルを火傷パネルに変換(BS除く)	攻撃後、対象のパネルを火傷パネルに変換(BS除く)	攻撃後、対象のパネルを火傷パネルに変換(BS除く)	攻撃後、対象のパネルを火傷パネルに変換(BS除く)				
71203002	スキル対象に毒を付与	スキル対象に毒を付与	スキル対象に毒を付与	スキル対象に毒を付与				
